crate,variant,unsafe_instructions,unsafe_load,unsafe_load_pct,unsafe_store,unsafe_store_pct,unsafe_ptr_arith,unsafe_ptr_arith_pct,unsafe_cast,unsafe_cast_pct,unsafe_call,unsafe_call_pct,unsafe_others,unsafe_others_pct
libsecp256k1,with_native,70214288,11633147,16.5681,19001688,27.0624,2112562,3.0087,25238,0.0359,19630464,27.9579,17811189,25.3669
log,with_native,90513751,814690,0.9001,37922573,41.8970,414430,0.4579,247,0.0003,2001218,2.2110,49360593,54.5338
loom,with_native,1973887156,270528648,13.7054,699951236,35.4605,138081299,6.9954,4969268,0.2518,283540199,14.3646,576816506,29.2224
matrixmultiply,with_native,37700647224,6318022901,16.7584,8053407351,21.3615,9982451469,26.4782,102193,0.0003,7444741244,19.7470,5901922066,15.6547
memchr,with_native,273400576688,32924847316,12.0427,66999662505,24.5060,17545569249,6.4175,2379778034,0.8704,55175803265,20.1813,98374916319,35.9820
memmap2,with_native,374695,47410,12.6530,139517,37.2348,32213,8.5971,1576,0.4206,33505,8.9419,120474,32.1526
metrics,with_native,8074589,927164,11.4825,2188932,27.1089,703223,8.7091,35070,0.4343,1871724,23.1804,2348476,29.0848
miette,with_native,6207925786,773201754,12.4551,1981436024,31.9178,858003430,13.8211,7963598,0.1283,1049770397,16.9102,1537550583,24.7675
msgpack-rust,with_native,89915592,824580,0.9171,37654469,41.8776,424253,0.4718,653,0.0007,2016364,2.2425,48995273,54.4903
native-tls,with_native,136382959,13401443,9.8263,48984937,35.9172,8000401,5.8661,8624,0.0063,19967986,14.6411,46019568,33.7429
ndarray,with_native,26851990857,4786523874,17.8256,7106398967,26.4651,3833101699,14.2749,601373,0.0022,6091913604,22.6870,5033451340,18.7452
nom,with_native,409375580,65209981,15.9291,127111337,31.0501,23200724,5.6673,359027,0.0877,82842061,20.2362,110652450,27.0296
nu-ansi-term,with_native,90227868,841437,0.9326,37762871,41.8528,431846,0.4786,2592,0.0029,2043571,2.2649,49145551,54.4683
num-bigint,with_native,4676111340,522265489,11.1688,1632266211,34.9065,534474046,11.4299,30183681,0.6455,494587237,10.5769,1462334676,31.2725
ordered-float,with_native,14336779,1907701,13.3063,3355139,23.4023,584413,4.0763,60149,0.4195,2791529,19.4711,5637848,39.3244
ordered-multimap,with_native,481770,57644,11.9650,116663,24.2155,24514,5.0883,1720,0.3570,98318,20.4077,182911,37.9665
os_info,with_native,89974547,864055,0.9603,37626321,41.8189,445659,0.4953,13488,0.0150,2062639,2.2925,48962385,54.4180
ouroboros,with_native,90544308,811639,0.8964,37937767,41.8997,413137,0.4563,17,0.0000,1999720,2.2086,49382028,54.5391
parity-scale-codec,with_native,14257925173,1760906818,12.3504,4496846703,31.5393,1422119140,9.9742,147960083,1.0377,2221742097,15.5825,4208350332,29.5159
parking_lot,with_native,11042649942,1442584414,13.0638,3078890607,27.8818,828351609,7.5014,105678112,0.9570,1139764348,10.3215,4447380852,40.2746
petgraph,with_native,49636333154,5890757601,11.8678,14288569523,28.7865,3787584316,7.6307,125275196,0.2524,10242402699,20.6349,15301743717,30.8277
pin-project-lite,with_native,343352633,31707927,9.2348,129059843,37.5881,21103078,6.1462,2463263,0.7174,24688544,7.1904,134329978,39.1230
polling,with_native,1227255,107272,8.7408,363516,29.6203,65867,5.3670,14677,1.1959,204001,16.6225,471922,38.4535
portable-atomic,with_native,44346582056,6305430863,14.2185,13307178824,30.0072,4929936064,11.1168,290630627,0.6554,6740120812,15.1987,12773284866,28.8033
postcard,with_native,516214,64103,12.4179,190893,36.9794,39934,7.7359,194,0.0376,85544,16.5714,135546,26.2577
pulldown-cmark,with_native,15295029,1906426,12.4644,3885443,25.4033,1115476,7.2931,98561,0.6444,2462524,16.1002,5826599,38.0947
rand,with_native,55648689,7328964,13.1701,14945417,26.8567,3105179,5.5800,204459,0.3674,11468266,20.6083,18596404,33.4175
rayon-core,with_native,3994741617,507708924,12.7094,983464493,24.6190,331885504,8.3081,19367506,0.4848,511797774,12.8118,1640516711,41.0669
rgb,with_native,38149,5330,13.9715,12766,33.4635,2808,7.3606,92,0.2412,5678,14.8837,11475,30.0794
ring,with_native,32972693349,209419342,0.6351,1812801995,5.4979,17445977247,52.9104,125958,0.0004,291911185,0.8853,13212457622,40.0709
rmp,with_native,90826525,979074,1.0780,37875306,41.7007,456421,0.5025,3960,0.0044,2254905,2.4827,49256859,54.2318
ron,with_native,20868529,2198935,10.5371,5745235,27.5306,1106002,5.2999,651157,3.1203,2809469,13.4627,8357731,40.0494
rust-openssl,with_native,308173997,34234525,11.1088,91642825,29.7374,21200411,6.8794,1007456,0.3269,38374896,12.4523,121713884,39.4952
rustc-demangle,with_native,86503203,8424445,9.7389,26756484,30.9312,7074904,8.1788,1823232,2.1077,11882156,13.7361,30541982,35.3073
scroll,with_native,15949,1920,12.0384,5394,33.8203,1432,8.9786,17,0.1066,2126,13.3300,5060,31.7261
semver,with_native,6387946,91238,1.4283,5847920,91.5462,54291,0.8499,4078,0.0638,117008,1.8317,273411,4.2801
serde_with,with_native,247016757,28772866,11.6481,68190662,27.6057,16936389,6.8564,3303221,1.3372,42215659,17.0902,87597960,35.4624
serde_yaml,with_native,528460075,165171554,31.2553,80526526,15.2380,99125265,18.7574,332376,0.0629,78132413,14.7849,105171941,19.9016
sharded-slab,with_native,30333758167,5827698302,19.2119,6528663008,21.5228,388302321,1.2801,12365701,0.0408,9552571114,31.4916,8024157721,26.4529
signal-hook,with_native,34697898,13661581,39.3729,7008659,20.1991,52485,0.1513,1658,0.0048,78831,0.2272,13894684,40.0447
