crate,variant,total_functions_defined,unsafe_functions_defined,total_functions_executed,unsafe_functions_executed,distinctive_pct,total_function_calls,unsafe_function_calls,cumulative_pct
ron,with_native,339696,63852,69869,11827,16.9274,5884035,2438664,41.4454
rust-openssl,with_native,39332,15197,12847,4744,36.9269,32719266,16157981,49.3837
rustc-demangle,with_native,4041,795,2285,490,21.4442,36725711,14183856,38.6211
scroll,with_native,2768,511,1523,303,19.8949,6442,1900,29.4939
semver,with_native,2438,564,1360,374,27.5000,11461152,11369572,99.2010
serde_with,with_native,60028,8098,28974,4152,14.3301,3524268,1268560,35.9950
serde_yaml,with_native,67947,15813,21013,4709,22.4099,2840376,1082599,38.1146
sharded-slab,with_native,12541,3219,6533,1927,29.4964,283155989,70417200,24.8687
signal-hook,with_native,7593,2875,2699,1011,37.4583,13668026,13544999,99.0999
simdutf8,with_native,963,439,414,160,38.6473,22572792,11318338,50.1415
siphasher,with_native,3041,675,1567,477,30.4403,543230,6456,1.1884
slotmap,with_native,8178,2122,5690,1805,31.7223,12966841,4856527,37.4534
smallvec,with_native,3339,1091,2398,856,35.6964,15612,6318,40.4689
tokio,with_native,2680480,737678,424524,119454,28.1383,1242117679,498112352,40.1019
triomphe,with_native,5023,1464,3462,1256,36.2796,29926,9672,32.3197
unicode-normalization,with_native,5740,1616,3182,750,23.5701,245941736,77291448,31.4267
utf8parse,with_native,448,118,266,92,34.5865,231120372,130883658,56.6301
uuid,with_native,1641,246,1182,186,15.7360,12058473,12041136,99.8562
value-bag,with_native,1776,102,876,72,8.2192,3231,714,22.0984
winnow,with_native,3518,1664,2112,1192,56.4394,76116,53338,70.0746
zopfli,with_native,11858,3178,6950,2118,30.4748,8591877197,2253537311,26.2287
