crate,variant,total_instructions,unsafe_instructions,unsafe_instruction_pct
aho-corasick,without_native,152717527793,7091192267,4.6433
arbitrary,without_native,27131828186,436315787,1.6081
arc-swap,without_native,213220881657,4261420530,1.9986
arrayvec,without_native,4767176591,233654875,4.9013
async-lock,without_native,1323272609,6592123,0.4982
async-std,without_native,3570055381,157883723,4.4224
async-task,without_native,359035643,46305777,12.8973
bimap,without_native,5209224,425844,8.1748
borsh-rs,without_native,418129628,179275,0.0429
brotli-decompressor,without_native,71859712079,11641861,0.0162
bstr,without_native,6454228719,2082282968,32.2623
bytemuck,without_native,268440,8293,3.0893
byteorder,without_native,295041466,1812244,0.6142
bytes,without_native,47825398,5618266,11.7475
cc-rs,without_native,137928979,5177767,3.7539
chrono,without_native,13519969409,198863227,1.4709
clru,without_native,128045046,18808072,14.6886
colored,without_native,1249697,8744,0.6997
combine,without_native,3047237,12099,0.3970
cpp_demangle,without_native,149255912282,299756825,0.2008
cssparser,without_native,1644666386,377533827,22.9550
curl,without_native,570320735,10726479,1.8808
dashmap,without_native,39083007,5988739,15.3231
deranged,without_native,6706167,285469,4.2568
dlv-list,without_native,1040884,16602,1.5950
ego-tree,without_native,1491545,58188,3.9012
encoding_rs,without_native,78821134451,1363268806,1.7296
filetime,without_native,81812,2186,2.6720
fixedbitset,without_native,649235086,20953285,3.2274
flate2,without_native,22007771775,298346627,1.3556
fragile,without_native,1558139,139750,8.9690
fs4,without_native,78821,5189,6.5833
getrandom,without_native,50461913,151702,0.3006
gimli,without_native,10476379320,221149203,2.1109
git2,without_native,6189377,303851,4.9092
h2,without_native,76721620557,733856011,0.9565
hashbrown,without_native,72865176757,11555061856,15.8581
hashlink,without_native,15131931,4464624,29.5047
headers,without_native,3833299,11826,0.3085
http,without_native,31620911096,803933176,2.5424
http-body,without_native,591285,3231,0.5464
httparse,without_native,346198697696,4603659807,1.3298
imgref,without_native,809510928,17204165,2.1253
indexmap,without_native,13232155319,1704703921,12.8830
iri-string,without_native,534456032,7278655,1.3619
jni,without_native,982156,2778,0.2828
jpeg-decoder,without_native,545038274954,4393292680,0.8061
lexical-core,without_native,5319,516,9.7011
libsecp256k1,without_native,107522658,383665,0.3568
log,without_native,534291096,7276181,1.3618
loom,without_native,35934733666,392768193,1.0930
matrixmultiply,without_native,14329466416,4199035655,29.3035
memchr,without_native,988583068241,151580821854,15.3331
memmap2,without_native,5424625,8152,0.1503
metrics,without_native,50435722,1066029,2.1136
miette,without_native,11231973,40594,0.3614
msgpack-rust,without_native,534291103,7276181,1.3618
native-tls,without_native,302371566,53658987,17.7460
ndarray,without_native,167061989019,16776384785,10.0420
nom,without_native,45024972,120020,0.2666
nu-ansi-term,without_native,534291090,7276181,1.3618
num-bigint,without_native,43934935682,298302845,0.6790
ordered-float,without_native,211641770,22320085,10.5462
ordered-multimap,without_native,5404580,573021,10.6025
os_info,without_native,534291113,7276181,1.3618
ouroboros,without_native,534291099,7276181,1.3618
parity-scale-codec,without_native,102054544743,669257803,0.6558
parking_lot,without_native,58300857686,7920354095,13.5853
petgraph,without_native,10842546285,36075088,0.3327
pin-project-lite,without_native,613080675,7276914,1.1869
polling,without_native,23794194,910339,3.8259
portable-atomic,without_native,207715677208,322129000,0.1551
postcard,without_native,5547008,94920,1.7112
pulldown-cmark,without_native,249346038,1328421,0.5328
rand,without_native,783191835,1151162,0.1470
rayon-core,without_native,21586177302,1864404331,8.6370
rgb,without_native,494479,6758,1.3667
ring,without_native,108090113457,134454179,0.1244
rmp,without_native,534291107,7276181,1.3618
ron,without_native,206088355,235019,0.1140
rust-openssl,without_native,1237364827,193327962,15.6242
rustc-demangle,without_native,1174006349,16976789,1.4461
scroll,without_native,200259,2162,1.0796
semver,without_native,639177203,511512,0.0800
serde_with,without_native,125700609,766113,0.6095
serde_yaml,without_native,128531171,6723375,5.2309
sharded-slab,without_native,10537712277,233798665,2.2187
signal-hook,without_native,1415865916,159536,0.0113
simdutf8,without_native,557085548,153597853,27.5717
siphasher,without_native,175971091,1158485,0.6583
slotmap,without_native,491692911,59248328,12.0499
smallvec,without_native,484249,129118,26.6636
tokio,without_native,41045838922,2584681404,6.2971
triomphe,without_native,1126213,69106,6.1361
unicode-normalization,without_native,8239422975,13295147,0.1614
utf8parse,without_native,9097234041,17848193,0.1962
uuid,without_native,534475517,7278947,1.3619
value-bag,without_native,143361,2268,1.5820
winnow,without_native,3482759,34905,1.0022
zopfli,without_native,331529341621,28829414630,8.6959
aho-corasick,with_native,152717530874,35907871642,23.5126
arbitrary,with_native,27167786538,4749086969,17.4806
arc-swap,with_native,218869789597,50438705476,23.0451
arrayvec,with_native,4767176591,1537445779,32.2507
async-lock,with_native,1333339082,204299838,15.3224
async-std,with_native,3731254336,796869826,21.3566
async-task,with_native,359035623,92167055,25.6707
bimap,with_native,5213731,1747013,33.5079
borsh-rs,with_native,418129993,99854711,23.8813
brotli-decompressor,with_native,71859715579,8854937193,12.3225
bstr,with_native,6455792600,2455146206,38.0301
bytemuck,with_native,268440,41479,15.4519
byteorder,with_native,294459004,70667439,23.9991
bytes,with_native,49445254,15814282,31.9834
cc-rs,with_native,137899564,38936836,28.2356
chrono,with_native,13519857953,1892377597,13.9970
clru,with_native,128043792,33886927,26.4651
colored,with_native,1176925,172870,14.6883
combine,with_native,3047237,444673,14.5927
cpp_demangle,with_native,149255912282,25548296293,17.1171
cssparser,with_native,1644671893,395685517,24.0586
curl,with_native,439884345,110029495,25.0133
dashmap,with_native,39087443,12514091,32.0156
deranged,with_native,6706304,726234,10.8291
dlv-list,with_native,1040884,136474,13.1114
ego-tree,with_native,1491545,253032,16.9644
encoding_rs,with_native,78821134451,21431766666,27.1904
filetime,with_native,81812,16720,20.4371
fixedbitset,with_native,649235086,27592133,4.2499
flate2,with_native,22007136394,6347852196,28.8445
fragile,with_native,1557896,442458,28.4010
fs4,with_native,78821,17425,22.1071
getrandom,with_native,50454023,15278972,30.2830
gimli,with_native,10475020723,1443947420,13.7847
git2,with_native,6189836,1734857,28.0275
h2,with_native,76575297629,9842344540,12.8532
hashbrown,with_native,72865525537,24465833072,33.5767
hashlink,with_native,15312351,6462587,42.2051
headers,with_native,3833299,846282,22.0771
http,with_native,30577086633,6136611786,20.0693
http-body,with_native,591285,136371,23.0635
httparse,with_native,346198697974,79733404305,23.0311
imgref,with_native,809510385,192756545,23.8115
indexmap,with_native,13152817978,3371701723,25.6348
iri-string,with_native,534456032,84297765,15.7726
jni,with_native,982156,112214,11.4253
jpeg-decoder,with_native,545424222350,177080748332,32.4666
lexical-core,with_native,5283,564,10.6758
libsecp256k1,with_native,107522551,9718852,9.0389
log,with_native,534291096,90532159,16.9444
loom,with_native,35934518098,3795458531,10.5622
matrixmultiply,with_native,14329466416,6750667805,47.1104
memchr,with_native,988560824012,273374487806,27.6538
memmap2,with_native,5424600,708548,13.0618
metrics,with_native,50435767,5920760,11.7392
miette,with_native,11234995,3523954,31.3659
