crate,variant,repetition,logical_bins,total_instructions,unsafe_instructions,unsafe_instruction_pct
rand,with_native,rep1,14,427553746,55648689,13.0156
rand,without_native,rep2,14,427558226,4105974,0.9603
rand,with_native,rep2,14,427550879,55649120,13.0158
rayon-core,without_native,rep1,88,20023796007,1941193965,9.6944
rayon-core,with_native,rep1,88,18687205879,3994741617,21.3769
rayon-core,without_native,rep2,88,19673084849,1934804730,9.8348
rayon-core,with_native,rep2,88,19052729872,4051188179,21.2630
rgb,without_native,rep1,21,251898,4074,1.6173
rgb,with_native,rep1,21,251898,38149,15.1446
rgb,without_native,rep2,21,251898,4074,1.6173
rgb,with_native,rep2,21,251898,38149,15.1446
ring,without_native,rep1,16,54444273066,76983487,0.1414
ring,with_native,rep1,16,156444565146,32972693349,21.0763
ring,without_native,rep2,16,54444272682,76983483,0.1414
ring,with_native,rep2,16,156444549774,32972688741,21.0763
rmp,without_native,rep1,3,533162864,7390517,1.3862
rmp,with_native,rep1,3,533162195,90826525,17.0354
rmp,without_native,rep2,3,533165498,7390517,1.3862
rmp,with_native,rep2,3,533263635,90871421,17.0406
ron,without_native,rep1,70,109497538,281223,0.2568
ron,with_native,rep1,70,109497648,20868529,19.0584
ron,without_native,rep2,70,109498179,281316,0.2569
ron,with_native,rep2,70,109498166,20868536,19.0583
rust-openssl,without_native,rep1,6,625433305,101672622,16.2563
rust-openssl,with_native,rep1,6,625438351,308173997,49.2733
rust-openssl,without_native,rep2,6,625441200,101674879,16.2565
rust-openssl,with_native,rep2,6,625432382,308171801,49.2734
rustc-demangle,without_native,rep1,3,411131639,16976789,4.1293
rustc-demangle,with_native,rep1,3,411131639,86503203,21.0403
rustc-demangle,without_native,rep2,3,411131639,16976789,4.1293
rustc-demangle,with_native,rep2,3,411131639,86503203,21.0403
scroll,without_native,rep1,5,100354,1436,1.4309
scroll,with_native,rep1,5,100354,15949,15.8927
scroll,without_native,rep2,5,100354,1436,1.4309
scroll,with_native,rep2,5,100354,15949,15.8927
semver,without_native,rep1,5,319598214,269024,0.0842
semver,with_native,rep1,5,319598214,6387946,1.9987
semver,without_native,rep2,5,319598214,269024,0.0842
semver,with_native,rep2,5,319598214,6387946,1.9987
serde_with,without_native,rep1,19,1037750994,71808146,6.9196
serde_with,with_native,rep1,19,1037932296,247016757,23.7989
serde_with,without_native,rep2,19,1037764181,71810460,6.9197
serde_with,with_native,rep2,19,1037755454,246989401,23.8003
serde_yaml,without_native,rep1,10,810449719,517723923,63.8811
serde_yaml,with_native,rep1,10,810450571,528460075,65.2057
serde_yaml,without_native,rep2,10,810448431,517723657,63.8811
serde_yaml,with_native,rep2,10,810449100,528459449,65.2058
sharded-slab,without_native,rep1,4,77604542500,5580637434,7.1911
sharded-slab,with_native,rep1,4,76904490075,30333758167,39.4434
sharded-slab,without_native,rep2,4,78873462504,5677743273,7.1985
sharded-slab,with_native,rep2,4,77727207255,30665221853,39.4524
signal-hook,without_native,rep1,4,730844972,135132,0.0185
signal-hook,with_native,rep1,4,472124694,34697898,7.3493
signal-hook,without_native,rep2,4,735475412,130536,0.0177
signal-hook,with_native,rep2,4,477755462,35088340,7.3444
simdutf8,without_native,rep1,2,283963983,80790176,28.4509
simdutf8,with_native,rep1,2,283963983,140558799,49.4988
simdutf8,without_native,rep2,2,283963983,80790176,28.4509
simdutf8,with_native,rep2,2,283963983,140558799,49.4988
siphasher,without_native,rep1,13,88029747,583615,0.6630
siphasher,with_native,rep1,13,88029747,611228,0.6943
siphasher,without_native,rep2,13,88029747,583615,0.6630
siphasher,with_native,rep2,13,88029747,611228,0.6943
slotmap,without_native,rep1,6,761199528,40967747,5.3820
slotmap,with_native,rep1,6,778778073,162765596,20.9001
slotmap,without_native,rep2,6,784414578,42871351,5.4654
slotmap,with_native,rep2,6,755441386,158763888,21.0160
smallvec,without_native,rep1,2,245421,66814,27.2242
smallvec,with_native,rep1,2,245421,94414,38.4702
smallvec,without_native,rep2,2,245421,66814,27.2242
smallvec,with_native,rep2,2,245421,94414,38.4702
tokio,without_native,rep1,151,26395255752,1600392530,6.0632
tokio,with_native,rep1,151,26338958985,5901440873,22.4057
tokio,without_native,rep2,151,26398909567,1601420338,6.0662
tokio,with_native,rep2,151,26343471572,5904309158,22.4128
triomphe,without_native,rep1,4,567848,37698,6.6387
triomphe,with_native,rep1,4,567848,98013,17.2604
triomphe,without_native,rep2,4,567848,37698,6.6387
triomphe,with_native,rep2,4,567848,98013,17.2604
unicode-normalization,without_native,rep1,5,4120266454,7321083,0.1777
unicode-normalization,with_native,rep1,5,4120266454,695054016,16.8692
unicode-normalization,without_native,rep2,5,4120266454,7321083,0.1777
unicode-normalization,with_native,rep2,5,4120266454,695054016,16.8692
utf8parse,without_native,rep1,1,4549818749,10125825,0.2226
utf8parse,with_native,rep1,1,4549818749,1115679324,24.5214
utf8parse,without_native,rep2,1,4549818749,10125825,0.2226
utf8parse,with_native,rep2,1,4549818749,1115679324,24.5214
uuid,without_native,rep1,3,1062976612,8327388,0.7834
uuid,with_native,rep1,3,1063060181,199136393,18.7324
uuid,without_native,rep2,3,1063026236,8327778,0.7834
uuid,with_native,rep2,3,1063026411,199124936,18.7319
value-bag,without_native,rep1,1,380914,3834,1.0065
value-bag,with_native,rep1,1,380914,43457,11.4086
value-bag,without_native,rep2,1,380914,3834,1.0065
value-bag,with_native,rep2,1,380914,43457,11.4086
winnow,without_native,rep1,14,414663004,2732437,0.6590
winnow,with_native,rep1,14,500163421,91315671,18.2572
winnow,without_native,rep2,14,423236230,2808611,0.6636
winnow,with_native,rep2,14,497491452,90676430,18.2267
zopfli,without_native,rep1,4,186229842378,16668310216,8.9504
zopfli,with_native,rep1,4,207442064009,36721694542,17.7021
zopfli,without_native,rep2,4,211429404252,22560602344,10.6705
zopfli,with_native,rep2,4,180252705580,33325163992,18.4880
