crate,variant,total_instructions,unsafe_instructions,unsafe_instruction_pct
imgref,with_native,404924563,96547643,23.8434
indexmap,with_native,7788794967,1776660968,22.8105
iri-string,with_native,303661756,62351444,20.5332
jni,with_native,35224036266,6885126873,19.5467
jpeg-decoder,with_native,291583350729,93092051697,31.9264
lexical-core,with_native,1807,234,12.9496
libsecp256k1,with_native,3492719583,70214288,2.0103
log,with_native,534140117,90513751,16.9457
loom,with_native,18323476462,1973887156,10.7724
matrixmultiply,with_native,59692850740,37700647224,63.1577
memchr,with_native,988831060632,273400576688,27.6489
memmap2,with_native,2831585,374695,13.2327
metrics,with_native,54973495,8074589,14.6881
miette,with_native,41168855966,6207925786,15.0792
msgpack-rust,with_native,530283835,89915592,16.9561
native-tls,with_native,666829845,136382959,20.4524
ndarray,with_native,103125151067,26851990857,26.0383
nom,with_native,2188307199,409375580,18.7074
nu-ansi-term,with_native,531820842,90227868,16.9658
num-bigint,with_native,22226934812,4676111340,21.0380
ordered-float,with_native,70534277,14336779,20.3260
ordered-multimap,with_native,2175193,481770,22.1484
os_info,with_native,529908084,89974547,16.9793
ouroboros,with_native,534291627,90544308,16.9466
parity-scale-codec,with_native,56376691353,14257925173,25.2905
parking_lot,with_native,33047865894,11042649942,33.4141
petgraph,with_native,451242156291,49636333154,10.9999
pin-project-lite,with_native,1822498608,343352633,18.8397
polling,with_native,12015590,1227255,10.2139
portable-atomic,with_native,119014046484,44346582056,37.2616
postcard,with_native,2841985,516214,18.1639
pulldown-cmark,with_native,96225143,15295029,15.8950
rand,with_native,427553746,55648689,13.0156
rayon-core,with_native,18687205879,3994741617,21.3769
rgb,with_native,251898,38149,15.1446
ring,with_native,156444565146,32972693349,21.0763
rmp,with_native,533162195,90826525,17.0354
ron,with_native,109497648,20868529,19.0584
rust-openssl,with_native,625438351,308173997,49.2733
rustc-demangle,with_native,411131639,86503203,21.0403
scroll,with_native,100354,15949,15.8927
semver,with_native,319598214,6387946,1.9987
serde_with,with_native,1037932296,247016757,23.7989
serde_yaml,with_native,810450571,528460075,65.2057
sharded-slab,with_native,76904490075,30333758167,39.4434
signal-hook,with_native,472124694,34697898,7.3493
simdutf8,with_native,283963983,140558799,49.4988
siphasher,with_native,88029747,611228,0.6943
slotmap,with_native,778778073,162765596,20.9001
smallvec,with_native,245421,94414,38.4702
tokio,with_native,26338958985,5901440873,22.4057
triomphe,with_native,567848,98013,17.2604
unicode-normalization,with_native,4120266454,695054016,16.8692
utf8parse,with_native,4549818749,1115679324,24.5214
uuid,with_native,1063060181,199136393,18.7324
value-bag,with_native,380914,43457,11.4086
winnow,with_native,500163421,91315671,18.2572
zopfli,with_native,207442064009,36721694542,17.7021
