crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
simdutf8,with_native,5359542,2846,1438,2846,4442772,628,2081,4,82.8946,8.8992,38.8821,0.0000,14.6592,8.8992,54.6475,0.0000,46.1781,0.0038
siphasher,with_native,1993625,8141,496,8141,120,7,132,137,0.0060,0.0826,0.0000,0.0000,0.0810,0.0826,0.0000,0.0000,0.0616,0.0482
slotmap,with_native,5265561,30486,16239,30483,2546030,20868,138979,268296,48.3525,44.7268,25.9036,66.6667,44.6613,44.7268,43.5705,75.0000,45.5926,0.6121
smallvec,with_native,478109,2032,309,2014,1330,57,122,116,0.2782,2.5000,0.0000,0.0000,2.4349,2.5000,0.0000,0.0000,1.6156,0.6804
tokio,with_native,1752346905,8981230,687686,8972598,1430179739,6589376,44096222,32310446,81.6151,66.6155,98.5661,23.3010,68.1501,66.6155,93.0208,17.1324,68.7630,3.2496
triomphe,with_native,623385,3155,343,3137,4056,119,300,367,0.6506,3.4990,0.0000,0.0000,3.4019,3.4990,0.0000,0.0000,2.4133,1.7076
unicode-normalization,with_native,11361370,733820,181217,733820,6265504,313771,1072,428318,55.1474,34.2928,0.0000,0.0000,34.2905,34.2928,0.0000,0.0000,34.2732,0.1493
utf8parse,with_native,37267354,539277,714265,539277,3328,39,0,1436236,0.0089,0.0031,0.0000,0.0000,0.0031,0.0031,0.0000,0.0000,0.0031,0.3039
uuid,with_native,16660413,112831,10225,112785,4720416,33942,301031,242395,28.3331,27.8495,8.4615,0.0000,27.5826,27.8495,14.5574,0.0000,26.1209,0.5954
value-bag,with_native,240288,1544,308,1544,6912,24,90,3,2.8765,1.2672,2.7027,0.0000,1.2959,1.2672,2.3952,0.0000,1.5112,0.5596
winnow,with_native,14455992,116232,138815,116212,6783742,31051,674017,1080950,46.9269,12.1244,18.8989,0.0000,12.1746,12.1244,30.2662,0.0000,13.7360,27.6727
zopfli,with_native,5841904895,1412311,419859,1412310,5031555670,1285284,317554785,483748261,86.1287,72.5613,58.9186,46.3881,70.1509,72.5613,77.6769,59.3629,70.2883,4.8959
