crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
rgb,without_native,1564003,13281,826,13281,68,1,2,2,0.0043,0.0072,0.0000,0.0000,0.0071,0.0072,0.0000,0.0000,0.0062,0.3192
ring,without_native,103231892,1189149,10499,1189131,38960,244,264,0,0.0377,0.0204,0.0000,0.0000,0.0203,0.0204,0.0000,0.0000,0.0182,0.0036
rmp,without_native,6487098,5975,954,5954,65536,16,196608,196608,1.0103,0.0000,1.1396,0.0000,0.2309,0.0000,0.9741,0.0000,0.5808,12.3373
ron,without_native,6006982,50561,4930,50537,19140,125,487,532,0.3186,0.2273,0.1064,0.0000,0.2253,0.2273,0.0324,0.0000,0.1979,1.5562
rust-openssl,without_native,2792519,10505,2459,10447,16816,187,505,209,0.6022,1.4737,0.0000,0.0000,1.4425,1.4737,0.0000,0.0000,0.9462,0.0021
rustc-demangle,without_native,5243314,3129,584,3129,65536,16,458752,458752,1.2499,0.0000,2.2923,0.0000,0.4309,0.0000,1.7316,0.0000,0.6708,12.4980
scroll,without_native,677118,3707,368,3689,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
semver,without_native,17261955,4016,302,4016,11271645,449,3248,441,65.2976,10.5350,0.0000,66.6667,10.3983,10.5350,0.0000,66.6667,60.0360,3.6905
serde_with,without_native,53946454,533043,17585,147859,7275432,70184,870006,164949,13.4864,12.7639,8.7567,8.3333,12.7462,12.7639,10.2458,14.8148,12.6726,4.0957
serde_yaml,without_native,34139746,42266,1118,42266,31299983,28056,64898967,636994,91.6819,63.9523,82.1101,0.0000,64.6690,63.9523,93.8053,0.0000,79.5224,27.1733
sharded-slab,without_native,1307316111,1281136,27989,1281113,3301144,4470,145418,133478,0.2525,0.2856,5.0074,0.2024,0.3414,0.2856,0.7076,0.0164,0.1750,0.0139
signal-hook,without_native,345372,2083,110,2068,14848,46,693,81,4.2991,2.0570,3.7037,0.0000,2.0976,2.0570,1.8750,0.0000,2.0237,2.4877
simdutf8,without_native,5359542,2846,1438,2846,4442584,626,2081,0,82.8911,8.8414,38.8821,0.0000,14.6125,8.8414,54.6475,0.0000,46.1674,0.0070
siphasher,without_native,1993625,8141,496,8141,80,4,132,0,0.0040,0.0472,0.0000,0.0000,0.0463,0.0472,0.0000,0.0000,0.0352,0.0242
slotmap,without_native,5305877,31791,16320,31788,1453864,5859,127920,146089,27.4010,12.1793,10.8434,66.6667,12.1781,12.1793,24.0949,75.0000,14.5911,1.8145
smallvec,without_native,497565,2032,311,2014,846,38,31,83,0.1700,1.6667,0.0000,0.0000,1.6219,1.6667,0.0000,0.0000,1.0556,0.4937
tokio,without_native,1752270628,8982338,687654,8973708,338952580,1241789,16435092,5637316,19.3436,13.4859,0.0781,0.0000,12.8417,13.4859,0.2261,0.0000,11.3074,3.8272
triomphe,without_native,623385,3155,343,3137,2184,65,6,362,0.3503,1.9112,0.0000,0.0000,1.8582,1.9112,0.0000,0.0000,1.3182,2.8944
unicode-normalization,without_native,11361370,733820,181217,733820,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
utf8parse,without_native,37267354,539277,714265,539277,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
uuid,without_native,16655816,112648,10225,112602,125248,217,199689,198292,0.7520,0.1576,1.5385,0.0000,0.1766,0.1576,1.1859,0.0000,0.2657,11.3438
value-bag,without_native,240288,1544,308,1544,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
winnow,without_native,14435292,116372,138451,116352,63486,93,2276,462,0.4398,0.0320,0.6342,0.0000,0.0365,0.0320,0.3032,0.0000,0.0562,3.5552
zopfli,without_native,5277346170,1274656,383749,1274655,3652789692,533889,254108301,291550373,69.2164,30.1509,42.1108,27.4381,32.1929,30.1509,64.1904,45.2824,52.7065,8.1464
aho-corasick,with_native,3240519142,24281920,1211773,24280070,2278118808,11562984,176596574,21645709,70.3010,43.7417,94.6623,50.0000,45.3563,43.7417,74.8425,50.0000,47.2012,2.5625
arbitrary,with_native,135475277,2033218,1513,2033218,135158352,2030285,7055075,1934096,99.7661,99.7847,0.0000,0.0000,99.7815,99.7847,0.0000,0.0000,99.7609,0.8922
arc-swap,with_native,88435206,80648,4133,80578,85077620,4743,2966127,61474,96.2033,4.4572,52.7931,100.0000,5.5944,4.4572,96.2534,100.0000,68.2374,0.3329
arrayvec,with_native,1626375,4683,3000,3437,188,2,14,2,0.0116,0.0282,0.0000,0.0000,0.0260,0.0282,0.0000,0.0000,0.0164,0.0000
async-lock,with_native,2287725,25972,795,25972,420744,7437,1649363,561998,18.3914,28.0822,0.0000,0.0000,27.7842,28.0822,0.0000,0.0000,25.7434,5.0590
async-std,with_native,37758791,115384,2153,101247,31947528,89789,19055786,3251000,84.6095,76.4647,72.6027,16.6667,76.3921,76.4647,69.9855,14.2857,74.0549,8.6208
async-task,with_native,7145984,10437,702,10376,100824,330,1247021,1245693,1.4109,3.2904,1.0025,0.0000,2.9626,3.2904,0.8034,0.0000,1.9077,6.3893
